T,R1,R2,R3,R4,R5,R6,R7,R8
6,1202,1131,1193,1235,1205,1175,1230,1150
7,1163,1113,1174,1205,1179,1149,1204,1124
8,1136,1064,1134,1183,1144,1114,1169,1089
9,1079,1010,1081,1125,1089,1059,1114,1034
10,1040,976,1042,1063,1045,1015,1070,990
11,967,912,973,1003,979,949,1004,924
12,939,888,943,974,951,921,976,896
13,884,855,895,921,904,874,929,849
14,857,812,875,887,873,843,898,818
15,829,771,832,848,835,805,860,780
16,806,746,815,883,815,785,840,760
17,756,710,765,783,769,739,794,714
18,733,682,741,756,743,713,768,688
19,715,658,714,736,721,691,746,666
20,693,643,697,728,705,675,730,650
21,654,606,655,685,665,635,690,610
22,635,578,639,661,643,613,668,588
23,606,551,606,626,612,582,637,557
24,582,535,584,598,590,560,615,535
25,564,519,566,576,571,541,596,516
26,536,494,539,552,545,515,570,490
27,529,476,522,548,534,504,559,479
28,508,460,509,527,516,486,541,461
29,504,457,504,520,511,481,536,456
30,490,443,490,501,496,466,521,441
31,472,427,479,485,481,451,506,426
32,445,409,450,456,455,425,480,400
33,433,393,433,449,442,412,467,387
34,424,379,424,434,430,400,455,375
35,416,370,416,430,423,393,448,368
36,403,354,403,413,408,378,433,353
37,388,342,390,397,394,364,419,339
38,361,321,362,376,370,340,395,315
39,343,304,344,353,351,321,376,296
40,333,296,335,340,341,311,366,286
